week_number,date_range_start,date_range_end,chart_date,rank,title,artist,weeks_on_chart,peak_position,ambient_lines_json
30,1974-07-29,1974-08-04,1974-08-03,1,Annie's Song,John Denver,10,1,"[""On Television: Kojak""]"
30,1974-07-29,1974-08-04,1974-08-03,2,Don't Let The Sun Go Down On Me,Elton John,7,2,"[""In Theaters (1974): Herbie Rides Again""]"
30,1974-07-29,1974-08-04,1974-08-03,3,Feel Like Makin' Love,Roberta Flack,7,3,[]
30,1974-07-29,1974-08-04,1974-08-03,4,Rikki Don't Lose That Number,Steely Dan,13,4,"[""On Television: NOVA""]"
30,1974-07-29,1974-08-04,1974-08-03,5,The Night Chicago Died,Paper Lace,8,5,"[""On Television: The Young and the Restless""]"
30,1974-07-29,1974-08-04,1974-08-03,6,The Air That I Breathe,The Hollies,16,6,"[""On Television: Soul Train""]"
30,1974-07-29,1974-08-04,1974-08-03,7,Rock And Roll Heaven,The Righteous Brothers,11,3,[]
30,1974-07-29,1974-08-04,1974-08-03,8,Please Come To Boston,Dave Loggins,10,8,"[""In Theaters (1974): The Three Musketeers""]"
30,1974-07-29,1974-08-04,1974-08-03,9,Call On Me,Chicago,7,9,"[""Cultural Backdrop: Glitter-laminate trading card sheen"", ""On Television: The Mary Tyler Moore Show""]"
30,1974-07-29,1974-08-04,1974-08-03,10,Sideshow,Blue Magic,12,10,[]
