timestamp,event_type,status,run_id,week_number,chart_date,rank,basename,prompt_path,meta_path,image_path
2026-02-25T22:08:14.202864+00:00,prompt_built,prompt_built,2026-02-25_w29-w32_top10,30,1974-08-03,1,1974_W30_1974-08-03_R01_annie-s-song__john-denver,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/prompts/1974_W30_1974-08-03_R01_annie-s-song__john-denver.txt,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/meta/1974_W30_1974-08-03_R01_annie-s-song__john-denver.json,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/images/1974_W30_1974-08-03_R01_annie-s-song__john-denver.png
2026-02-25T22:08:14.203033+00:00,prompt_built,prompt_built,2026-02-25_w29-w32_top10,30,1974-08-03,2,1974_W30_1974-08-03_R02_don-t-let-the-sun-go-down-on-me__elton-john,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/prompts/1974_W30_1974-08-03_R02_don-t-let-the-sun-go-down-on-me__elton-john.txt,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/meta/1974_W30_1974-08-03_R02_don-t-let-the-sun-go-down-on-me__elton-john.json,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/images/1974_W30_1974-08-03_R02_don-t-let-the-sun-go-down-on-me__elton-john.png
2026-02-25T22:08:14.203178+00:00,prompt_built,prompt_built,2026-02-25_w29-w32_top10,30,1974-08-03,3,1974_W30_1974-08-03_R03_feel-like-makin-love__roberta-flack,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/prompts/1974_W30_1974-08-03_R03_feel-like-makin-love__roberta-flack.txt,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/meta/1974_W30_1974-08-03_R03_feel-like-makin-love__roberta-flack.json,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/images/1974_W30_1974-08-03_R03_feel-like-makin-love__roberta-flack.png
2026-02-25T22:08:14.203380+00:00,prompt_built,prompt_built,2026-02-25_w29-w32_top10,30,1974-08-03,4,1974_W30_1974-08-03_R04_rikki-don-t-lose-that-number__steely-dan,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/prompts/1974_W30_1974-08-03_R04_rikki-don-t-lose-that-number__steely-dan.txt,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/meta/1974_W30_1974-08-03_R04_rikki-don-t-lose-that-number__steely-dan.json,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/images/1974_W30_1974-08-03_R04_rikki-don-t-lose-that-number__steely-dan.png
2026-02-25T22:08:14.203539+00:00,prompt_built,prompt_built,2026-02-25_w29-w32_top10,30,1974-08-03,5,1974_W30_1974-08-03_R05_the-night-chicago-died__paper-lace,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/prompts/1974_W30_1974-08-03_R05_the-night-chicago-died__paper-lace.txt,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/meta/1974_W30_1974-08-03_R05_the-night-chicago-died__paper-lace.json,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/images/1974_W30_1974-08-03_R05_the-night-chicago-died__paper-lace.png
2026-02-25T22:08:14.203692+00:00,prompt_built,prompt_built,2026-02-25_w29-w32_top10,30,1974-08-03,6,1974_W30_1974-08-03_R06_the-air-that-i-breathe__the-hollies,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/prompts/1974_W30_1974-08-03_R06_the-air-that-i-breathe__the-hollies.txt,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/meta/1974_W30_1974-08-03_R06_the-air-that-i-breathe__the-hollies.json,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/images/1974_W30_1974-08-03_R06_the-air-that-i-breathe__the-hollies.png
2026-02-25T22:08:14.203832+00:00,prompt_built,prompt_built,2026-02-25_w29-w32_top10,30,1974-08-03,7,1974_W30_1974-08-03_R07_rock-and-roll-heaven__the-righteous-brothers,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/prompts/1974_W30_1974-08-03_R07_rock-and-roll-heaven__the-righteous-brothers.txt,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/meta/1974_W30_1974-08-03_R07_rock-and-roll-heaven__the-righteous-brothers.json,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/images/1974_W30_1974-08-03_R07_rock-and-roll-heaven__the-righteous-brothers.png
2026-02-25T22:08:14.203970+00:00,prompt_built,prompt_built,2026-02-25_w29-w32_top10,30,1974-08-03,8,1974_W30_1974-08-03_R08_please-come-to-boston__dave-loggins,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/prompts/1974_W30_1974-08-03_R08_please-come-to-boston__dave-loggins.txt,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/meta/1974_W30_1974-08-03_R08_please-come-to-boston__dave-loggins.json,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/images/1974_W30_1974-08-03_R08_please-come-to-boston__dave-loggins.png
2026-02-25T22:08:14.204105+00:00,prompt_built,prompt_built,2026-02-25_w29-w32_top10,30,1974-08-03,9,1974_W30_1974-08-03_R09_call-on-me__chicago,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/prompts/1974_W30_1974-08-03_R09_call-on-me__chicago.txt,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/meta/1974_W30_1974-08-03_R09_call-on-me__chicago.json,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/images/1974_W30_1974-08-03_R09_call-on-me__chicago.png
2026-02-25T22:08:14.204265+00:00,prompt_built,prompt_built,2026-02-25_w29-w32_top10,30,1974-08-03,10,1974_W30_1974-08-03_R10_sideshow__blue-magic,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/prompts/1974_W30_1974-08-03_R10_sideshow__blue-magic.txt,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/meta/1974_W30_1974-08-03_R10_sideshow__blue-magic.json,/Users/bobhopp/Sites/retroverse/retroverse-1974/out/1974/week_30_1974-07-29_1974-08-04/top10/images/1974_W30_1974-08-03_R10_sideshow__blue-magic.png
