week_date,top_song,top_artist,tv_programs,magazine_titles,radio_top_tracks
1958-08-04,Poor Little Fool,Ricky Nelson,,,
1958-08-11,Poor Little Fool,Ricky Nelson,,,
1958-08-18,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,,,
1958-08-25,Little Star,The Elegants,,,
1958-09-01,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,,,
1958-09-08,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,,,
1958-09-15,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,,,
1958-09-22,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,,,
1958-09-29,It's All In The Game,Tommy Edwards,,,
1958-10-06,It's All In The Game,Tommy Edwards,,,
1958-10-13,It's All In The Game,Tommy Edwards,,,
1958-10-20,It's All In The Game,Tommy Edwards,,,
1958-10-27,It's All In The Game,Tommy Edwards,,,
1958-11-03,It's All In The Game,Tommy Edwards,,,
1958-11-10,It's Only Make Believe,Conway Twitty,,,
1958-11-17,Tom Dooley,The Kingston Trio,,,
1958-11-24,It's Only Make Believe,Conway Twitty,,,
1958-12-01,"To Know Him, Is To Love Him",The Teddy Bears,,,
1958-12-08,"To Know Him, Is To Love Him",The Teddy Bears,,,
1958-12-15,"To Know Him, Is To Love Him",The Teddy Bears,,,
1958-12-22,The Chipmunk Song,The Chipmunks,,,
1958-12-29,The Chipmunk Song,The Chipmunks,,"Billboard; Cosmopolitan v146 n02 [1959-02]; Cosmopolitan v146 n06 [1959-06]; Couch, founded in nineteen seventeen : wholesale price list, fall 1959, spring 1960, Couch Brothers Nursery Co., McMinnville, Tenn. / Couch Brothers Nursery Co.; MAD Magazine 1959",
1959-01-05,The Chipmunk Song,The Chipmunks,,,
1959-01-12,Smoke Gets In Your Eyes,The Platters,,,
1959-01-19,Smoke Gets In Your Eyes,The Platters,,,
1959-01-26,Smoke Gets In Your Eyes,The Platters,,,
1959-02-02,Stagger Lee,Lloyd Price,,,
1959-02-09,Stagger Lee,Lloyd Price,,,
1959-02-16,Stagger Lee,Lloyd Price,,,
1959-02-23,Stagger Lee,Lloyd Price,,,
1959-03-02,Venus,Frankie Avalon,,,
1959-03-09,Venus,Frankie Avalon,,,
1959-03-16,Venus,Frankie Avalon,,,
1959-03-23,Venus,Frankie Avalon,,,
