chart_date,rank,title,artist,weeks_on_chart,peak_position
1958-08-04,1,Poor Little Fool,Ricky Nelson,1,1
1958-08-04,2,Patricia,Perez Prado And His Orchestra,1,2
1958-08-04,3,Splish Splash,Bobby Darin,1,3
1958-08-04,4,Hard Headed Woman,Elvis Presley,1,4
1958-08-04,5,When,Kalin Twins,1,5
1958-08-04,6,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,1,6
1958-08-04,7,Yakety Yak,The Coasters,1,7
1958-08-04,8,My True Love,Jack Scott,1,8
1958-08-04,9,Willie And The Hand Jive,The Johnny Otis Show,1,9
1958-08-04,10,Fever,Peggy Lee,1,10
1958-08-04,11,Ginger Bread,Frankie Avalon,1,11
1958-08-04,12,Just A Dream,Jimmy Clanton And His Rockets,1,12
1958-08-04,13,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,1,13
1958-08-04,14,If Dreams Came True,Pat Boone,1,14
1958-08-04,15,For Your Precious Love,Jerry Butler And The Impressions,1,15
1958-08-04,16,One Summer Night,The Danleers,1,16
1958-08-04,17,Endless Sleep,Jody Reynolds,1,17
1958-08-04,18,Little Star,The Elegants,1,18
1958-08-04,19,Everybody Loves A Lover,Doris Day,1,19
1958-08-04,20,Do You Want To Dance,Bobby Freeman,1,20
1958-08-04,21,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,1,21
1958-08-04,22,A Certain Smile,Johnny Mathis,1,22
1958-08-04,23,Western Movies,The Olympics,1,23
1958-08-04,24,The Purple People Eater,Sheb Wooley,1,24
1958-08-04,25,What Am I Living For,Chuck Willis,1,25
1958-08-04,26,Born Too Late,Poni-tails,1,26
1958-08-04,27,Think It Over,The Crickets,1,27
1958-08-04,28,Secretly,Jimmie Rodgers,1,28
1958-08-04,29,Enchanted Island,The Four Lads,1,29
1958-08-04,30,Angel Baby,Dean Martin,1,30
1958-08-04,31,Chantilly Lace,Big Bopper,1,31
1958-08-04,32,Blue Blue Day,Don Gibson,1,32
1958-08-04,33,The Freeze,Tony And Joe,1,33
1958-08-04,34,Don't Ask Me Why,Elvis Presley,1,34
1958-08-04,35,Rock-in Robin,Bobby Day,1,35
1958-08-04,36,"No Chemise, Please",Gerry Granahan,1,36
1958-08-04,37,Moon Talk,Perry Como,1,37
1958-08-04,38,Somebody Touched Me,Buddy Knox,1,38
1958-08-04,39,That's How Much I Love You,Pat Boone,1,39
1958-08-04,40,Crazy Eyes For You,Bobby Hamilton,1,40
1958-08-04,41,Early In The Morning,Buddy Holly,1,41
1958-08-04,42,You Cheated,The Slades,1,42
1958-08-04,43,Come What May,Clyde Mcphatter,1,43
1958-08-04,44,Jennie Lee,Jan,1,44
1958-08-04,45,Kathy-O,The Diamonds,1,45
1958-08-04,46,(It's Been A Long Time) Pretty Baby,Gino,1,46
1958-08-04,47,I Wonder Why,Dion,1,47
1958-08-04,48,Return To Me,Dean Martin,1,48
1958-08-04,49,All I Have To Do Is Dream,The Everly Brothers,1,49
1958-08-04,50,"Baubles, Bangles And Beads",The Kirby Stone Four,1,50
1958-08-04,50,By The Light Of The Silvery Moon,Jimmy Bowen,1,50
1958-08-04,52,Early In The Morning,The Rinky-dinks,1,52
1958-08-04,53,Come Closer To Me (Acercate Mas),Nat King Cole,1,53
1958-08-04,54,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,54
1958-08-04,55,Let's Go Steady For The Summer,The Three G's,1,55
1958-08-04,56,Leroy,Jack Scott,1,56
1958-08-04,57,You Need Hands,Eydie Gorme,1,57
1958-08-04,58,Fool's Paradise,The Crickets,1,58
1958-08-04,59,Young And Warm And Wonderful,Tony Bennett,1,59
1958-08-04,60,Over And Over,Bobby Day,1,60
1958-08-04,61,Itchy Twitchy Feeling,Bobby Hendricks,1,61
1958-08-04,62,For Your Love,Ed Townsend,1,62
1958-08-04,63,High School Confidential,Jerry Lee Lewis And His Pumping Piano,1,63
1958-08-04,63,Padre,Toni Arden,1,63
1958-08-04,65,You're Making A Mistake,The Platters,1,65
1958-08-04,66,Delicious!,Jim Backus,1,66
1958-08-04,67,Big Man,The Four Preps,1,67
1958-08-04,68,Volare (Nel Blu Dipinto Di Blu),Dean Martin,1,68
1958-08-04,69,Op,The Honeycones,1,69
1958-08-04,70,Don't Go Home,The Playmates,1,70
1958-08-04,71,Got A Match?,Frank Gallup,1,71
1958-08-04,72,Stupid Cupid,Connie Francis,1,72
1958-08-04,73,Hey Girl - Hey Boy,Oscar Mclollie And Jeanette Baker,1,73
1958-08-04,74,Gotta Have Rain,Eydie Gorme,1,74
