date,network,time,program,episode,source,archive_url
1970-01-01,,,TV Guide (1970-09-26) How TV Covered A Riot (C Virginia),,Internet Archive,https://archive.org/details/1970-09-26-to-02-tv-guide-c-virginia-how-tv-covered-a-riot-red
1970-01-01,,,TV Guide - (1970/03/14 to 20) - (Cleveland) Charges Of TV News Bias,,Internet Archive,https://archive.org/details/1970-03-14-to-20-tv-guide-cleveland-charges-of-tv-news-bias
1970-01-01,,,Television; a selection of readings from TV guide magazine,,Internet Archive,https://archive.org/details/televisionselect0000cole
1970-01-01,,,Tv Guide 1970 05 02 North Texas David Wade Isaac Asimov,,Internet Archive,https://archive.org/details/tv-guide-1970-05-02-north-texas-david-wade-isaac-asimov_202207
1970-05-02,,,"TV Guide May 2, 1970 North Texas edition, David Wade, Isaac Asimov",,Internet Archive,https://archive.org/details/tv-guide-1970-05-02-north-texas-david-wade-isaac-asimov
1971-01-01,,,TV Guide (TVガイド) 1971 Nov 19 -- Full Scan,,Internet Archive,https://archive.org/details/tvGuide_jp_1971Nov19
1972-01-01,,,A Cable TV Guide for Educators: Uses and Provisions. Second Edition.,,Internet Archive,https://archive.org/details/micro_IA41153637_0593
1972-01-01,,,Backstage at 'The Mary Tyler Moore Show'- TV Guide Magazine (February 1972),,Internet Archive,https://archive.org/details/mary_20231014
1972-01-01,,,Milwaukee Bucks 1972-1973 official press-radio-TV guide,,Internet Archive,https://archive.org/details/milwaukeebucks7200stei
1972-01-01,,,TV Guide - (1972/05/06) - (Ga) TV Influencing Political Primaries,,Internet Archive,https://archive.org/details/1972-05-06-to-12-tv-guide-ga-tv-influencing-political-primaries-red
1972-01-01,,,TV Guide - (1972/09/30 to 06) - (Georgia) - TV Political Coverage Biased,,Internet Archive,https://archive.org/details/1972-09-30-to-06-tv-guide-ga-tv-political-coverage-biased
1972-01-01,,,TV Guide - August 5 1972,,Internet Archive,https://archive.org/details/tv_guide_19720805
1973-01-01,,,TV Guide 1973-12-22 Chicago Metropolitan Edition,,Internet Archive,https://archive.org/details/tv-guide-1973-12-22-chicago-metropolitan
1973-01-01,,,TV Guide v21n35 (#0566) [1973-09-01] (jodyanimator),,Internet Archive,https://archive.org/details/tvguidev21n35056619730901jodyanimator
1974-01-01,,,TV Guide v22n22 (#1105) [1974-06-01] (jodyanimator),,Internet Archive,https://archive.org/details/tvguidev22n22110519740601jodyanimator
1975-01-01,,,"Science Fiction TV Guide Volume One Number Two August 19-25, 1975",,Internet Archive,https://archive.org/details/science-fiction-tv-guide-for-salt-lake-city-volume-one-number-two-august-19-1975
1975-01-01,,,TV Guide 1975-12-06 San Francisco Metropolitan Edition,,Internet Archive,https://archive.org/details/tv-guide-1975-12-06-san-francisco-metropolitan
1976-01-01,,,From the Magazine Rack No. 101 — The Rose-Colored Rearview Mirror (Saturday Review); President Ford Talks About Television (TV Guide); The Nation’s River (National Geographic) (VOA Radio Script),,Internet Archive,https://archive.org/details/from-the-magazine-rack-no.-101-the-rose-colored-rearview-mirror-saturday-review-
1976-01-01,,,From the Magazine Rack No. 102 — Candidate Carter Talks About Television (TV Guide); Lobbying: Key to Lasting Political Influence (Black Enterprise); North Sea Oil Fuels Scottish Nationalism (Fortune) (VOA Radio Script),,Internet Archive,https://archive.org/details/from-the-magazine-rack-no.-102-candidate-carter-talks-about-television-tv-guide-
1976-01-01,,,From the Magazine Rack No. 104 — Why Don’t People Vote? (TV Guide); On Predicting Earthquakes (Current); Born Again: The Year of the Evangelicals (Newsweek) (VOA Radio Script),,Internet Archive,https://archive.org/details/from-the-magazine-rack-no.-104-why-dont-people-vote-tv-guide-on-predicting-earth
1976-01-01,,,From the Magazine Rack No. 69 — Covering the Economy (TV Guide); Senior Volunteers (Parks and Recreation) (VOA Radio Script),,Internet Archive,https://archive.org/details/from-the-magazine-rack-no.-69-covering-the-economy-tv-guide-senior-volunteers-pa
1976-01-01,,,From the Magazine Rack No. 72 — Legal Richts Still Cloudy For Eighteen-Year-Olds (U.S. News And World Report); Anatomy of a Newscast (TV Guide) (VOA Radio Script),,Internet Archive,https://archive.org/details/from-the-magazine-rack-no.-72-legal-richts-still-cloudy-for-eighteen-year-olds-u
1976-01-01,,,From the Magazine Rack No. 92 — Trains in Trouble (Atlantic); Terrorism and Television (TV Guide); ‘Company Couples’ Flourish (Business Week) (VOA Radio Script),,Internet Archive,https://archive.org/details/from-the-magazine-rack-no.-92-trains-in-trouble-atlantic-terrorism-and-televisio
1976-01-01,,,"From the Magazine Rack No. 98 — Is the Elephant at Peace? (Audubon); A Voice Still Blowin’ in the Wind (TV Guide); It’s Pronounced Gannett, and It’s Very Profitable (New York) (VOA Radio Script)",,Internet Archive,https://archive.org/details/from-the-magazine-rack-no.-98-is-the-elephant-at-peace-audubon-a-voice-still-blo
1976-01-01,,,TV Guide (Baseball Faces An Explosive Year--San Francisco Edition),,Internet Archive,https://archive.org/details/tvguide04031976-04091976baseball
1977-01-01,,,"Country Style - Press, Radio & TV Guide (1977)",,Internet Archive,https://archive.org/details/cs_prtvguide_1977
1977-01-01,,,"TV Guide - 1977-02-26 - Los Angeles, CA Edition",,Internet Archive,https://archive.org/details/tv-guide-1977-02-26-los-angeles-ca-edited_202404
1977-01-01,,,The Programming Pirate of Pickle Lake Ontario TV Guide Canada by Gordon Donaldson 1977,,Internet Archive,https://archive.org/details/The_Programming_Pirate_of_Pickle_Lake_Ontario_TV_Guide_Canada_by_Gordon_Donaldso
1978-01-01,,,Get the Johnny Carson show before it's bleeped - TV Guide Oklahoma 1978,,Internet Archive,https://archive.org/details/Get_the_Johnny_Carson_show_before_its_bleeped_TV_Guide_Oklahoma_1978
