date,rank,artist,album,length,track_length
1978-01-07,1,"Fleetwood Mac",Rumours,58,
1978-01-07,2,"Rod Stewart","Foot Loose + Fancy Free",8,334894.75
1978-01-07,3,"Earth, Wind & Fire","All 'n' All",11,212600.818181818
1978-01-07,4,"Electric Light Orchestra","Out Of The Blue",17,250202.705882353
1978-01-07,5,"Linda Ronstadt","Simple Dreams",10,198135.6
1978-01-07,6,"Debby Boone","You Light Up My Life",12,198186.25
1978-01-07,7,KISS,"Alive Ii",20,223676.55
1978-01-07,8,"Shaun Cassidy","Born Late",10,192200.9
1978-01-07,9,Queen,"News Of The World",16,222138.0
1978-01-07,10,"Neil Diamond","I'm Glad Your Here With Me Tonight",,
1978-01-07,11,Commodores,"Commodores Live!",12,364219.666666667
1978-01-07,12,"Boz Scaggs","Down Two Then Left",10,257314.4
1978-01-07,13,"Bob Welch","French Kiss",12,181677.5
1978-01-07,14,"Olivia Newton-John","Olivia Newton-John's Greatest Hits",,
1978-01-07,15,"Billy Joel","The Stranger",21,296449.238095238
1978-01-07,16,"Lynyrd Skynyrd","Street Survivors",23,260330.043478261
1978-01-07,17,"Steely Dan",Aja,7,343028.142857143
1978-01-07,18,Styx,"The Grand Illusion",8,312237.875
1978-01-07,19,"Randy Newman","Little Criminals",12,192984.166666667
1978-01-07,20,Aerosmith,"Draw The Line",9,237785.0
1978-01-07,21,Kansas,"Point Of Know Return",12,252448.583333333
1978-01-07,22,Soundtrack,"Saturday Night Fever",21,224416.142857143
1978-01-07,23,LTD,"Something To Love",9,261106.333333333
1978-01-07,24,"Diana Ross","Baby It's Me",10,213145.2
1978-01-07,25,"George Duke","Reach For It",11,292194.727272727
1978-01-07,26,Foreigner,Foreigner,12,240737.833333333
1978-01-07,27,"Donna Summer","Once Upon A Time",16,256053.625
1978-01-07,28,"High Inergy","Turnin' On",,
1978-01-07,29,"Dolly Parton","Here You Come Again",10,178703.6
1978-01-07,30,"Paul Simon","Greatest Hits, Ect.",11,
1978-01-07,31,"Jackson Browne","Running On Empty",10,260547.7
1978-01-07,32,Santana,Moonflower,16,294902.1875
1978-01-07,33,War,Galaxy,5,383439.6
1978-01-07,34,"The Babys","Broken Heart",10,225057.0
1978-01-07,35,"The Steve Miller Band","Book Of Dreams",,
1978-01-07,36,"James Taylor",JT,12,189260.75
1978-01-07,37,"Eric Clapton",Slowhand,27,280855.407407407
1978-01-07,38,"Millie Jackson","Feelin Bitchy",11,287607.0
1978-01-07,39,"Gino Vannelli","A Pauper In Paridise",,
1978-01-07,40,"Emerson, Lake & Palmer","Works Volume II",,
