year,issue_count,magazine_count,top_magazines
1901,1,1,Cosmopolitan
1904,1,1,Cosmopolitan
1908,2,1,Cosmopolitan
1921,1,1,People
1924,66,1,Billboard
1926,2,2,Billboard | Cosmopolitan
1929,1,1,Cosmopolitan
1930,3,1,Cosmopolitan
1931,1,1,Cosmopolitan
1932,1,1,Cosmopolitan
1933,1,1,Cosmopolitan
1934,2,1,Cosmopolitan
1935,1,1,Billboard
1936,4,2,Billboard | Cosmopolitan
1937,2,2,Billboard | Cosmopolitan
1938,2,1,Billboard
1939,2,1,Cosmopolitan
1940,2,1,Billboard
1943,1,1,Cosmopolitan
1944,1,1,Cosmopolitan
1946,3,1,Cosmopolitan
1948,2,1,Cosmopolitan
1949,1,1,Cosmopolitan
1950,2,2,Cosmopolitan | Seventeen
1951,3,1,Cosmopolitan
1952,5,3,Cosmopolitan | New York Magazine | National Lampoon
1953,9,3,Cosmopolitan | People | MAD Magazine
1954,7,3,Cosmopolitan | MAD Magazine | National Lampoon
1955,5,2,Cosmopolitan | MAD Magazine
1956,6,3,Cosmopolitan | MAD Magazine | People
1957,5,3,Cosmopolitan | MAD Magazine | National Lampoon
1958,6,4,Cosmopolitan | MAD Magazine | National Lampoon
1959,9,4,Cosmopolitan | New York Magazine | MAD Magazine
1960,5,2,Cosmopolitan | National Lampoon
1961,3,2,Cosmopolitan | MAD Magazine
1962,5,3,Cosmopolitan | National Lampoon | MAD Magazine
1963,4,3,MAD Magazine | Cosmopolitan | National Lampoon
1964,3,3,MAD Magazine | National Lampoon | New York Magazine
1965,6,2,MAD Magazine | National Lampoon
1966,2,2,MAD Magazine | National Lampoon
1967,11,4,New York Magazine | MAD Magazine | Cosmopolitan
1968,2,2,MAD Magazine | New York Magazine
1969,4,2,MAD Magazine | New York Magazine
1970,3,2,MAD Magazine | National Lampoon
1971,5,3,National Lampoon | New York Magazine | MAD Magazine
1972,9,4,New York Magazine | MAD Magazine | Cosmopolitan
1973,10,3,MAD Magazine | National Lampoon | New York Magazine
1974,11,4,MAD Magazine | Billboard | National Lampoon
1975,17,5,MAD Magazine | Seventeen | Billboard
1976,19,3,MAD Magazine | National Lampoon | Seventeen
1977,6,3,MAD Magazine | Seventeen | National Lampoon
1978,9,4,MAD Magazine | National Lampoon | Billboard
1979,2,2,MAD Magazine | National Lampoon
1980,12,4,MAD Magazine | New York Magazine | People
1981,14,5,MAD Magazine | New York Magazine | People
1982,10,5,MAD Magazine | New York Magazine | People
1983,5,3,MAD Magazine | National Lampoon | People
1984,11,4,MAD Magazine | Billboard | People
1985,17,4,MAD Magazine | New York Magazine | Billboard
1986,11,3,MAD Magazine | National Lampoon | New York Magazine
1987,10,3,MAD Magazine | New York Magazine | National Lampoon
1988,9,2,MAD Magazine | National Lampoon
1989,7,3,MAD Magazine | National Lampoon | People
1990,11,4,Entertainment Weekly | MAD Magazine | National Lampoon
1991,7,5,People | Cosmopolitan | Entertainment Weekly
1992,9,6,Entertainment Weekly | MAD Magazine | People
1993,8,3,People | MAD Magazine | Entertainment Weekly
1994,4,3,Entertainment Weekly | MAD Magazine | New York Magazine
1995,9,3,MAD Magazine | People | Entertainment Weekly
1996,2,2,New York Magazine | People
1997,8,4,Entertainment Weekly | Cosmopolitan | New York Magazine
1998,3,2,Entertainment Weekly | People
1999,7,1,Entertainment Weekly
2000,5,3,Billboard | Cosmopolitan | Entertainment Weekly
2001,7,4,Billboard | Entertainment Weekly | People
2002,2,1,Entertainment Weekly
2003,3,3,Cosmopolitan | Entertainment Weekly | MAD Magazine
2004,12,4,Cosmopolitan | Entertainment Weekly | MAD Magazine
2005,5,2,Entertainment Weekly | People
2006,1,1,National Lampoon
2007,21,4,Entertainment Weekly | Seventeen | MAD Magazine
2008,6,5,Entertainment Weekly | MAD Magazine | New York Magazine
2009,16,4,National Lampoon | Seventeen | Entertainment Weekly
2010,55,4,Entertainment Weekly | Seventeen | People
2011,49,3,Entertainment Weekly | Seventeen | People
2012,12,3,Entertainment Weekly | Seventeen | MAD Magazine
2013,3,2,Entertainment Weekly | MAD Magazine
2014,30,2,Entertainment Weekly | People
2015,35,4,Entertainment Weekly | Billboard | New York Magazine
2016,43,5,Entertainment Weekly | People | Billboard
2017,116,6,People | Billboard | Entertainment Weekly
2018,5,2,Tiger Beat | Entertainment Weekly
2019,9,2,Entertainment Weekly | Billboard
2020,12,2,Cosmopolitan | Billboard
2021,25,4,MAD Magazine | Entertainment Weekly | People
2022,13,5,People | Entertainment Weekly | Cosmopolitan
2023,29,5,People | MAD Magazine | Billboard
2024,23,4,Cosmopolitan | MAD Magazine | People
2025,22,5,Billboard | MAD Magazine | Cosmopolitan
2026,3,2,Cosmopolitan | MAD Magazine
2031,1,1,New York Magazine
2033,22,1,Cosmopolitan
2037,3,1,Cosmopolitan
2039,1,1,Cosmopolitan
2041,1,1,Cosmopolitan
2052,1,1,New York Magazine
2057,1,1,Cosmopolitan
2060,5,1,New York Magazine
2065,2,1,New York Magazine
2071,3,1,New York Magazine
2078,2,1,MAD Magazine
2089,1,1,New York Magazine
2090,1,1,New York Magazine
