year,top_film_1,top_film_2,top_film_3,top_film_4,top_film_5,top_film_6,top_film_7,top_film_8,top_film_9,top_film_10,top_tv_program_1,top_tv_program_2,top_tv_program_3,top_tv_program_4,top_tv_program_5,top_tv_program_6,top_tv_program_7,top_tv_program_8,top_tv_program_9,top_tv_program_10,headline_event_1,headline_event_2,headline_event_3,headline_event_4,headline_event_5,headline_event_6,headline_event_7,headline_event_8,headline_event_9,headline_event_10,headline_date_1,headline_date_2,headline_date_3,headline_date_4,headline_date_5,headline_date_6,headline_date_7,headline_date_8,headline_date_9,headline_date_10
1958,South Pacific,Auntie Mame,Cat on a Hot Tin Roof,No Time for Sergeants,Gigi,The Vikings,The Young Lions,The Inn of the Sixth Happiness,Some Came Running,Indiscreet,Gunsmoke,Wagon Train,Have Gun – Will Travel,The Rifleman,The Danny Thomas Show,Maverick,Tales of Wells Fargo,The Real McCoys,I've Got a Secret,The Life and Legend of Wyatt Earp,January 1 – The European Economic Community (EEC) comes into being.,January 3 – The West Indies Federation is formed.,"Edmund Hillary 's Commonwealth Trans-Antarctic Expedition completes the third overland journey to the South Pole , the first to use powered vehicles.","Sputnik 1 (launched on October 4, 1957) falls towards Earth from its orbit and burns up.",January 13 – Battle of Edchera : The Moroccan Army of Liberation ambushes a Spanish patrol.,"January 27 – A Soviet-American executive agreement on cultural, educational and scientific exchanges, also known as the "" Lacy–Zarubin Agreement "", is signed in Washington, D.C.",February 1 – Egypt and Syria unite to form the United Arab Republic .,"February 2 – The Falcons aerobatic team of the Pakistan Air Force led by Wg Cdr Mitty Masud set a world record performing a 16 aircraft diamond loop in F-86 Sabres . 30,000 people are in attendance including President Iskandar Ali Mirza , General Ayub Khan , Air Marshal Asghar Khan , Air Commodore Nur Khan , C-in-C Turkish Air Force Hamdullah Suphi Göker, Chief of the Iraqi Air Force Abdul Kadhim Abaddi, Chief of the Imperial Iranian Air Force and Chief Guest King Zahir Shah in whose honor the performance has been organized.","February 5 – 1958 Tybee Island mid-air collision : A U.S. B-47 bomber jettisons a hydrogen bomb into Wassaw Sound off Tybee Island, Georgia ; it is never recovered.","February 6 – Seven Manchester United footballers are among the 21 people killed in the Munich air disaster in West Germany, on the return flight from a European Cup game in Yugoslavia . 23 people survive; manager Matt Busby and players Johnny Berry and Duncan Edwards are in a serious condition. Berry will never play again and Edwards dies a fortnight later, as does the co-pilot.",1958-01-01,1958-01-03,1958-01-04,1958-01-04,1958-01-13,1958-01-27,1958-02-01,1958-02-02,1958-02-05,1958-02-06
1959,Ben-Hur,The Shaggy Dog,Operation Petticoat,Some Like It Hot,Pillow Talk,Imitation of Life,"Suddenly, Last Summer",Rio Bravo The Nun's Story,North by Northwest,Anatomy of a Murder,Gunsmoke,Wagon Train,Have Gun – Will Travel,The Danny Thomas Show,The Red Skelton Show,Father Knows Best,ABC,The Price Is Right,Wanted: Dead or Alive,Perry Mason,January 1 – Cuba : Fulgencio Batista flees Havana when the forces of Fidel Castro advance.,"January 2 – Soviet lunar probe Luna 1 is the first human-made object to attain escape velocity from Earth. It reaches the vicinity of Earth's Moon , where it was intended to crash-land, but instead becomes the first spacecraft to go into heliocentric orbit .",Alaska is admitted as the 49th U.S. state.,"The southernmost island of the Maldives archipelago , Addu Atoll , declares its independence from the Kingdom of the Maldives, initiating the United Suvadive Republic .","In Cuba , rebel troops led by Che Guevara and Camilo Cienfuegos enter the city of Havana .",Léopoldville riots : At least 49 people are killed during clashes between the police and participants of a meeting of the ABAKO Party in Léopoldville in the Belgian Congo .,January 6 – The International Maritime Organization is inaugurated.,January 7 – The United States recognizes the new Cuban government of Fidel Castro .,January 8 – Charles de Gaulle is inaugurated as the first president of the French Fifth Republic .,"January 9 – The Vega de Tera disaster in Spain, a flood caused by a dam collapse, nearly destroys the town of Ribadelago and kills 144 residents.",1959-01-01,1959-01-02,1959-01-03,1959-01-03,1959-01-04,1959-01-04,1959-01-06,1959-01-07,1959-01-08,1959-01-09
1960,Spartacus,Psycho,Exodus,Swiss Family Robinson,The Alamo,The World of Suzie Wong,BUtterfield 8,The Apartment,Ocean's 11,From the Terrace,Gunsmoke,Wagon Train,Have Gun – Will Travel,The Andy Griffith Show,The Real McCoys,Rawhide,Candid Camera,The Untouchables,NBC,The Jack Benny Show,January 1 – Cameroon becomes independent from France.,January 9 – Construction of the Aswan Dam begins in Egypt .,"January 10 – British Prime Minister Harold Macmillan makes the ""Wind of Change"" speech for the first time, to little publicity, in Accra , Gold Coast (modern-day Ghana ).","January 19 – A revised version of the Treaty of Mutual Cooperation and Security between the United States and Japan (""U.S.-Japan Security Treaty"" or "" Anpo (jōyaku) ""), which allows U.S. troops to be based on Japanese soil, is signed in Washington, D.C. by Prime Minister Nobusuke Kishi and President Dwight D. Eisenhower . The new treaty is opposed by the massive Anpo protests in Japan.","Coalbrook mining disaster : A coal mine collapses at Holly Country , South Africa, killing 435 miners.","Avianca Flight 671 crashes and burns upon landing at Montego Bay, Jamaica killing 37, the worst air disaster in Jamaica's history and the first for Avianca.","Charles de Gaulle , President of France, dismisses Jacques Massu as commander-in-chief of French troops in Algeria .","Jacques Piccard and Don Walsh descend into the Mariana Trench in the bathyscaphe Trieste , reaching a depth of 10,911 meters (35,797 feet), and become the first human beings to reach the lowest spot on Earth.",January 24 – A major insurrection occurs in Algiers against French colonial policy.,"February 1 – Greensboro sit-ins : In Greensboro, North Carolina , four black students from North Carolina Agricultural and Technical State University begin a sit-in at a segregated Woolworth's lunch counter . Although they are refused service, they are allowed to stay at the counter. The event triggers many similar non-violent protests throughout the Southern United States , and six months later the original four protesters are served lunch at the same counter.",1960-01-01,1960-01-09,1960-01-10,1960-01-19,1960-01-21,1960-01-21,1960-01-22,1960-01-22,1960-01-24,1960-02-01
1961,West Side Story,The Guns of Navarone,El Cid,The Parent Trap,The Absent-Minded Professor,King of Kings,Lover Come Back,One Hundred and One Dalmatians,La Dolce Vita,Come September,Wagon Train,Bonanza,Gunsmoke,Hazel,Perry Mason,The Red Skelton Show,The Andy Griffith Show,The Danny Thomas Show,Dr. Kildare,Candid Camera,January 1 – Monetary reform in the Soviet Union .,United States President Dwight D. Eisenhower announces that the United States has severed diplomatic and consular relations with Cuba ( Cuba–United States relations are restored in 2015 ).,"Aero Flight 311 (Koivulahti air disaster): Douglas DC-3 C OH-LCC of Finnish airline Aero crashes near Kvevlax (Koivulahti), on approach to Vaasa Airport in Finland, killing all 25 on board, due to pilot error : an investigation finds that the captain and first officer were both exhausted for lack of sleep, and had consumed excessive amounts of alcohol at the time of the crash.","Italian sculptor Alfredo Fioravanti enters the U.S. Consulate in Rome, and confesses that he was part of the team that forged the Etruscan terracotta warriors in the Metropolitan Museum of Art .","After the 1960 military coup , General Cemal Gürsel forms the new government of Turkey (25th government).","January 7 – Following a four-day conference in Casablanca , five African chiefs of state announce plans for a NATO -type African organization to ensure common defense. The Charter of Casablanca involves the Casablanca Group : Morocco , the United Arab Republic , Ghana , Guinea , and Mali .","January 8 – In France, a referendum supports Charles de Gaulle 's policies on independence for Algeria .","January 9 – British authorities announce they have uncovered a large Soviet spy ring , the Portland spy ring , in London.","President Dwight Eisenhower gives his final State of the Union Address to Congress. In a Farewell Address the same day, he warns of the increasing power of a "" military–industrial complex .""",Patrice Lumumba of the Republic of Congo is assassinated.,1961-01-01,1961-01-03,1961-01-03,1961-01-05,1961-01-05,1961-01-07,1961-01-08,1961-01-09,1961-01-17,1961-01-17
1962,The Longest Day,Lawrence of Arabia,The Music Man,That Touch of Mink,Mutiny on the Bounty,To Kill a Mockingbird,Hatari!,Gypsy,Bon Voyage! The Interns,In Search of the Castaways,The Beverly Hillbillies,Candid Camera,Bonanza,CBS,The Andy Griffith Show,Ben Casey,The Dick Van Dyke Show,Gunsmoke,Dr. Kildare,What's My Line?,January 1 – Western Samoa becomes independent from New Zealand .,January 3 – The office of Pope John XXIII announces the excommunication of Fidel Castro for preaching communism and interfering with Catholic churches in Cuba.,January 8 – Harmelen train disaster : 93 die in the worst Dutch rail disaster.,January 9 – Cuba and the Soviet Union sign a trade pact.,January 12 – The Indonesian Army confirms that it has begun operations in West Irian .,January 13 – Albania allies itself with the People's Republic of China .,Portugal abandons the United Nations General Assembly due to the debate over Angola.,French designer Yves Saint Laurent launches his own fashion house .,January 16 – A military coup occurs in the Dominican Republic .,"January 19 – A counter-coup occurs in the Dominican Republic; the old government returns, except for the new president Rafael Filiberto Bonnelly .",1962-01-01,1962-01-03,1962-01-08,1962-01-09,1962-01-12,1962-01-13,1962-01-15,1962-01-15,1962-01-16,1962-01-19
1963,Cleopatra,How the West Was Won,"It's a Mad, Mad, Mad, Mad World",Tom Jones,Irma la Douce,Son of Flubber,Charade,Bye Bye Birdie,"Come Blow Your Horn Move Over, Darling",The Great Escape,The Beverly Hillbillies,Bonanza,The Dick Van Dyke Show,Petticoat Junction,The Andy Griffith Show,The Lucy Show,Candid Camera,The Ed Sullivan Show,The Danny Thomas Show,My Favorite Martian,"January 1 – Bogle–Chandler case : Commonwealth Scientific and Industrial Research Organisation scientist Dr. Gilbert Bogle and Mrs. Margaret Chandler are found dead (presumed poisoned), in bushland near the Lane Cove River , Sydney, Australia.",January 2 – Vietnam War – Battle of Ap Bac : The Viet Cong win their first major victory.,"January 9 – A total penumbral lunar eclipse is visible in the Americas, Europe, Africa and Asia, and is the 56th lunar eclipse of Lunar Saros 114 . Gamma has a value of −1.01282. It occurs on the night between Wednesday, January 9 and Thursday, January 10, 1963.",January 13 – 1963 Togolese coup d'état : A military coup in Togo results in the installation of coup leader Emmanuel Bodjollé as president.,"January 17 – A last quarter moon occurs between the penumbral lunar eclipse and the annular solar eclipse , only 12 hours, 29 minutes after apogee.","January 19 – Soviet spy Gheorghe Pintilie is removed from his position as Deputy Interior Minister of the Romanian People's Republic , as a step in ensuring Romania's political independence ; the Workers' Party Politburo discusses way of neutralizing ""Soviet intelligence networks which Gheorghe Pintilie had coordinated.""",January 22 – France and West Germany sign the Élysée Treaty .,"January 25 – A large annular solar eclipse covers 99.5% of the Sun and a narrow path (at most 19.6 km (12.2 mi)). It is visible in Chile, Argentina, South Africa and Madagascar, and is the 26th solar eclipse of Solar Saros 140 . Gamma has a value of -0.48984.",January 26 – The Australia Day shootings rock Perth ; 2 people are shot dead and 3 others injured by Eric Edgar Cooke .,January 29 – French President Charles de Gaulle vetoes the United Kingdom's entry into the European Common Market .,1963-01-01,1963-01-02,1963-01-09,1963-01-13,1963-01-17,1963-01-19,1963-01-22,1963-01-25,1963-01-26,1963-01-29
1964,Mary Poppins,My Fair Lady,Goldfinger,The Carpetbaggers,From Russia With Love,A Shot in the Dark,What a Way to Go!,The Unsinkable Molly Brown,The Pink Panther,A Hard Day's Night,Bonanza,Bewitched,"Gomer Pyle, U.S.M.C.",The Andy Griffith Show,The Fugitive,The Red Skelton Hour,The Dick Van Dyke Show,The Lucy Show,Peyton Place II,Combat!,January 1 – The Federation of Rhodesia and Nyasaland is dissolved.,"January 5 – In the first meeting between leaders of the Roman Catholic and Orthodox churches since the fifteenth century, Pope Paul VI and Patriarch Athenagoras I of Constantinople meet in Jerusalem.","January 6 – A British firm, the Leyland Motor Corp. , announces the sale of 450 buses to the Cuban government, challenging the United States blockade of Cuba .","January 9 – Martyrs' Day : Armed clashes between United States troops and Panamanian civilians in the Panama Canal Zone precipitate a major international crisis, resulting in the deaths of 21 Panamanians and 4 U.S. soldiers.",January 11 – United States Surgeon General Luther Terry reports that smoking may be hazardous to one's health (the first such statement from the U.S. government).,January 22 – Kenneth Kaunda is inaugurated as the first Prime Minister of Northern Rhodesia .,January 28 – A U.S. Air Force jet training aircraft that strays into East Germany is shot down by Soviet fighters near Erfurt ; all three crewmen are killed.,"January 29 – February 9 – The 1964 Winter Olympics are held in Innsbruck , Austria .","The Soviet Union launches two scientific satellites , Elektron I and II, from a single rocket.","Ranger 6 is launched by the US space agency NASA , on a mission to carry television cameras and crash-land on the Moon.",1964-01-01,1964-01-05,1964-01-06,1964-01-09,1964-01-11,1964-01-22,1964-01-28,1964-01-29,1964-01-29,1964-01-29
1965,The Sound of Music,Doctor Zhivago,Thunderball,Those Magnificent Men in their Flying Machines,The Great Race,That Darn Cat!,Cat Ballou,What's New Pussycat?,Shenandoah,Von Ryan's Express,Bonanza,"Gomer Pyle, U.S.M.C.",The Lucy Show,The Red Skelton Hour,Batman (Thurs.),The Andy Griffith Show,Bewitched,CBS,Hogan's Heroes,Batman (Wed.),January 14 – The First Minister of Northern Ireland and the Taoiseach of the Republic of Ireland meet for the first time in 43 years.,Lyndon B. Johnson is sworn in for a full term as President of the United States.,Indonesian President Sukarno announces the withdrawal of the Indonesian government from the United Nations.,"January 29 – Hakametsä , the first ice rink of Finland, is inaugurated in Tampere .",January 30 – The state funeral of Sir Winston Churchill takes place in London with the largest assembly of dignitaries in the world until the 2005 funeral of Pope John Paul II .,February 4 – Trofim Lysenko is removed from his post as director of the Institute of Genetics at the Academy of Sciences in the Soviet Union. Lysenkoist theories are now treated as pseudoscience.,"February 12 – The African and Malagasy Common Organization ( Organization Commune Africaine et Malgache ; OCAM) is formed as successor to the Afro-Malagasy Union for Economic Cooperation ( Union Africaine et Malgache de Cooperation Economique ; UAMCE), formerly the African and Malagasy Union ( Union Africaine et Malgache ; UAM).","February 15 – The maple leaf is adopted as the flag of Canada , replacing the Canadian Red Ensign flag.",February 18 – The Gambia becomes independent from the United Kingdom.,"Ranger 8 crashes into the Moon, after a successful mission of photographing possible landing sites for the Apollo program astronauts .",1965-01-14,1965-01-20,1965-01-20,1965-01-29,1965-01-30,1965-02-04,1965-02-12,1965-02-15,1965-02-18,1965-02-20
1966,Hawaii,The Bible: In the Beginning...,Who's Afraid of Virginia Woolf?,The Sand Pebbles,A Man for All Seasons,"The Russians Are Coming, the Russians Are Coming",Grand Prix,The Professionals,Alfie,Georgy Girl,Bonanza,The Red Skelton Hour,The Andy Griffith Show,The Lucy Show,The Jackie Gleason Show,Green Acres,Daktari,ABC,CBS,"Gomer Pyle, U.S.M.C.","January 1 – In a coup , Colonel Jean-Bédel Bokassa takes over as military ruler of the Central African Republic , ousting President David Dacko .",January 3 – 1966 Upper Voltan coup d'état : President Maurice Yaméogo is deposed by a military coup in the Republic of Upper Volta (modern-day Burkina Faso).,"Pakistani –Indian peace negotiations end successfully with the signing of the Tashkent Declaration , a day before the sudden death of Indian prime minister Lal Bahadur Shastri .","The House of Representatives of the US state of Georgia refuses to allow African-American representative Julian Bond to take his seat, because of his anti-war stance.","January 15 – 1966 Nigerian coup d'état : A bloody military coup is staged in Nigeria , deposing the civilian government and resulting in the death of Prime Minister Abubakar Tafawa Balewa .","The Nigerian coup is overturned by another faction of the military, led by Major General Johnson Aguiyi-Ironsi , leaving a military government in power and beginning a long period of military rule.","1966 Palomares B-52 crash : A U.S. Air Force B-52 bomber collides with a KC-135 Stratotanker over Spain, dropping three 70- kiloton hydrogen bombs near the town of Palomares , and one into the sea. Carl Brashear , the first African-American United States Navy diver, is involved in an accident during the recovery of the latter, which results in the amputation of his leg.",January 19 – Indira Gandhi is elected Prime Minister of India ; she is sworn in on January 24 .,"January 20 - The Radio Caroline ship Mi Amigo runs aground on the beach at Frinton-on-Sea, Essex, UK.",January 21 – Italian Prime Minister Aldo Moro resigns due to a power struggle in his party.,1966-01-01,1966-01-03,1966-01-10,1966-01-10,1966-01-15,1966-01-17,1966-01-17,1966-01-19,1966-01-20,1966-01-21
1967,The Graduate,Guess Who's Coming to Dinner,Bonnie and Clyde,The Dirty Dozen,Valley of the Dolls,"To Sir, with Love",You Only Live Twice,Thoroughly Modern Millie,The Jungle Book,Camelot,The Andy Griffith Show,The Lucy Show,"Gomer Pyle, U.S.M.C.",Gunsmoke,NBC,The Red Skelton Show,The Dean Martin Show,The Jackie Gleason Show,Saturday Night at the Movies,Bewitched,"January 1 – Canada begins a year-long celebration of the 100th anniversary of Confederation , featuring the Expo 67 World's Fair.",January 6 – Vietnam War : United States Marine Corps and Army of the Republic of Vietnam troops launch Operation Deckhouse Five in the Mekong Delta .,"January 8 – Vietnam War: Operation Cedar Falls starts, in an attempt to eliminate the Iron Triangle .",January 13 – A military coup occurs in Togo under the leadership of Étienne Eyadema .,January 15 – Louis Leakey announces the discovery of pre-human fossils in Kenya ; he names the species Kenyapithecus africanus .,"In Munich , the trial begins of Wilhelm Harster , accused of the murder of 82,856 Jews (including Anne Frank ) when he led German security police during the German occupation of the Netherlands. He is eventually sentenced to 15 years in prison.","Milton Keynes in England is founded as a new town by Order in Council , with a planning brief to become a city of 250,000 people. Its initial designated area encloses three existing towns and twenty one villages. The area to be developed is largely farmland, with evidence of permanent settlement dating back to the Bronze Age .","January 25 – South Vietnamese junta leader and Prime Minister Nguyen Cao Ky forces his rival, Deputy Prime Minister and Defence Minister Nguyen Huu Co , into exile while overseas on a diplomatic visit.",The Parliament of the United Kingdom decides to nationalise 90% of the nation's steel industry.,The largest-ever blizzard to hit the US city of Chicago begins.,1967-01-01,1967-01-06,1967-01-08,1967-01-13,1967-01-15,1967-01-23,1967-01-23,1967-01-25,1967-01-26,1967-01-26
